N_estimators,Max_Depth,Train_Time,Test_Time,Accuracy
10,10,0.021999359130859375,0.0019998550415039062,0.9129032258064517
10,20,0.02299809455871582,0.0020003318786621094,0.9354838709677419
20,10,0.03799796104431152,0.0029997825622558594,0.9129032258064517
20,20,0.04400444030761719,0.002997159957885742,0.9451612903225807
50,10,0.09099793434143066,0.004001140594482422,0.9161290322580645
50,20,0.10550832748413086,0.004000186920166016,0.9387096774193548
100,10,0.17940855026245117,0.006998300552368164,0.9129032258064517
100,20,0.20999908447265625,0.007999181747436523,0.9387096774193548
200,10,0.35628485679626465,0.013000249862670898,0.9161290322580645
200,20,0.41500401496887207,0.0149993896484375,0.9419354838709677
400,10,0.7035214900970459,0.024997949600219727,0.9161290322580645
400,20,0.8086721897125244,0.02700018882751465,0.9387096774193548
